theme,n,pct_negative,theme_type,n_too_small,marginal_OR,marginal_lo,marginal_hi,adjusted_OR,adjusted_lo,adjusted_hi,adjusted_OR_neg2star,cond_1v2_OR,cond_1v2_lo,cond_1v2_hi
scam_fraud,149,0.94,evaluative,False,45.43,29.15,71.29,18.5,11.51,37.93,18.03,5.76,3.25,11.21
billing_refund,376,0.934,topical,False,34.42,26.92,45.91,10.39,7.41,14.79,16.86,2.72,1.89,4.16
support_service,642,0.743,topical,False,11.94,10.05,14.06,4.61,3.68,5.85,5.45,1.92,1.42,2.59
offshore,12,1.0,topical,True,16.8,9.12,25.23,3.14,1.19,7.58,2.17,2.2,1.54,3.0
access_expiration,194,0.794,topical,False,11.82,9.03,15.48,2.96,2.09,4.51,3.65,1.48,0.94,2.51
course_content,345,0.499,topical,False,2.99,2.43,3.71,1.63,1.16,2.18,2.15,0.77,0.54,1.12
exam_test_glitch,458,0.607,topical,False,4.95,4.03,6.1,1.56,1.2,1.98,2.09,0.84,0.64,1.16
certificate_reporting,889,0.431,topical,False,3.19,2.75,3.75,1.42,1.16,1.75,1.42,1.22,0.92,1.63
phone_automation,80,0.55,topical,False,3.55,2.35,5.61,1.03,0.57,1.75,1.24,0.79,0.39,1.62
language_barrier,19,0.316,topical,True,1.96,0.99,4.15,0.55,0.21,1.61,0.35,1.94,1.17,2.74
