month,type,n,observed_neg_share,level_p,forecast_p,lo80,hi80,lo95,hi95
2024-03,observed,120.0,0.3333,0.3061,,0.2819,0.3913,,
2024-04,observed,122.0,0.2705,0.3006,,0.2238,0.3262,,
2024-05,observed,105.0,0.2381,0.3009,,0.1911,0.297,,
2024-06,observed,89.0,0.3371,0.3115,,0.2779,0.4049,,
2024-07,observed,81.0,0.3333,0.3182,,0.2719,0.4045,,
2024-08,observed,80.0,0.2875,0.323,,0.2296,0.358,,
2024-09,observed,82.0,0.2317,0.3325,,0.1802,0.2987,,
2024-10,observed,67.0,0.4179,0.3552,,0.3448,0.4968,,
2024-11,observed,52.0,0.3654,0.3707,,0.2875,0.4553,,
2024-12,observed,65.0,0.4769,0.3869,,0.3997,0.5558,,
2025-01,observed,82.0,0.4756,0.3922,,0.4066,0.546,,
2025-02,observed,73.0,0.3699,0.3844,,0.3027,0.4455,,
2025-03,observed,74.0,0.3649,0.3787,,0.2985,0.4399,,
2025-04,observed,81.0,0.2963,0.3748,,0.2379,0.3666,,
2025-05,observed,74.0,0.473,0.382,,0.4006,0.5471,,
2025-06,observed,83.0,0.4578,0.3765,,0.3899,0.5282,,
2025-07,observed,72.0,0.2778,0.3584,,0.2182,0.352,,
2025-08,observed,83.0,0.3133,0.3503,,0.2541,0.3831,,
2025-09,observed,86.0,0.3488,0.3476,,0.2879,0.4181,,
2025-10,observed,73.0,0.3562,0.3448,,0.29,0.4316,,
2025-11,observed,75.0,0.3333,0.3404,,0.2697,0.4074,,
2025-12,observed,70.0,0.3,0.337,,0.2374,0.376,,
2026-01,observed,71.0,0.3944,0.338,,0.3247,0.4711,,
2026-02,observed,70.0,0.3571,0.3318,,0.2896,0.4343,,
2026-03,observed,85.0,0.2824,0.3226,,0.2265,0.3504,,
2026-04,observed,61.0,0.2787,0.3191,,0.2146,0.3598,,
2026-05,observed,71.0,0.3239,0.3196,,0.2596,0.4,,
2026-06,forecast,,,0.3196,0.3196,0.2352,0.4177,0.1973,0.4729
2026-07,forecast,,,0.3196,0.3196,0.2321,0.422,0.1931,0.4797
2026-08,forecast,,,0.3196,0.3196,0.2291,0.4261,0.1891,0.4862
2026-09,forecast,,,0.3196,0.3196,0.2262,0.4301,0.1853,0.4924
2026-10,forecast,,,0.3196,0.3196,0.2234,0.434,0.1817,0.4985
2026-11,forecast,,,0.3196,0.3196,0.2208,0.4378,0.1782,0.5043
